team,shot_statsbomb_xg,shot_type,shot_outcome,player,minute
Spain,0.03906236,Open Play,Saved,César Azpilicueta Tanco,8
Spain,0.039167434,Open Play,Off T,Pablo Sarabia García,12
Spain,0.3709824,Open Play,Saved,Jorge Resurrección Merodio,15
Spain,0.12285145,Open Play,Blocked,Álvaro Borja Morata Martín,18
Croatia,0.11096525,Open Play,Off T,Nikola Vlašić,24
Croatia,0.026392905,Open Play,Off T,Mateo Kovačić,25
Spain,0.02744656,Open Play,Off T,Pablo Sarabia García,26
Spain,0.019127857,Open Play,Wayward,José Luis Gayà Peña,36
Spain,0.113547,Open Play,Blocked,José Luis Gayà Peña,37
Spain,0.025974361,Open Play,Saved,José Luis Gayà Peña,37
Spain,0.252244,Open Play,Goal,Pablo Sarabia García,37
Spain,0.024265494,Open Play,Off T,Jorge Resurrección Merodio,42
Spain,0.06641552,Open Play,Off T,Álvaro Borja Morata Martín,45
Spain,0.29941455,Open Play,Goal,César Azpilicueta Tanco,56
Croatia,0.04418302,Open Play,Saved,Ante Rebić,65
Croatia,0.16446277,Open Play,Saved,Joško Gvardiol,66
Spain,0.41004384,Open Play,Goal,Ferrán Torres García,76
Spain,0.2343681,Open Play,Saved,Daniel Olmo Carvajal,83
Croatia,0.7440145,Open Play,Blocked,Ante Budimir,84
Croatia,0.86778545,Open Play,Goal,Mislav Oršić,84
Croatia,0.29000074,Open Play,Goal,Mario Pašalić,91
Spain,0.045205507,Open Play,Off T,Daniel Olmo Carvajal,93
Spain,0.033913903,Open Play,Off T,Mikel Oyarzabal Ugarte,95
Croatia,0.088294804,Open Play,Off T,Mislav Oršić,91
Croatia,0.46999133,Open Play,Saved,Andrej Kramarić,95
Spain,0.0855626,Open Play,Blocked,Daniel Olmo Carvajal,96
Spain,0.18895656,Open Play,Goal,Álvaro Borja Morata Martín,99
Croatia,0.04649613,Open Play,Saved,Andrej Kramarić,102
Spain,0.31188932,Open Play,Goal,Mikel Oyarzabal Ugarte,102
Croatia,0.16365045,Open Play,Off T,Ante Budimir,105
Spain,0.21897006,Open Play,Saved,Álvaro Borja Morata Martín,115
Spain,0.1855653,Open Play,Post,Daniel Olmo Carvajal,119
Spain,0.25241947,Open Play,Blocked,Mikel Oyarzabal Ugarte,119
Spain,0.08341253,Open Play,Off T,Fabián Ruiz Peña,119
Spain,0.05652601,Open Play,Off T,Álvaro Borja Morata Martín,120
